fid,feature_id,rdf_seeals,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,solar_Ener,pand_id_16,identificatie,EnergyEst
1211,1188782,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000210004,1.53E+14,1947,Pand in gebruik,woonfunctie,98,98,1,277.532,1.53E+14,NL.IMBAG.Pand.0153100000210004,277.532
1212,1227058,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000253804,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,211.888,1.53E+14,NL.IMBAG.Pand.0153100000253804,211.888
1213,1207339,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000229062,1.53E+14,1947,Pand in gebruik,,,,0,46.742,1.53E+14,NL.IMBAG.Pand.0153100000229062,46.742
1214,1188774,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000214318,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,36,36,1,212.668,1.53E+14,NL.IMBAG.Pand.0153100000214318,212.668
1215,1231521,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000260947,1.53E+14,1947,Pand in gebruik,woonfunctie,138,138,1,380.168,1.53E+14,NL.IMBAG.Pand.0153100000260947,380.168
1216,1243125,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000272467,1.53E+14,1920,Pand in gebruik,bijeenkomstfunctie,145,145,1,398.685,1.53E+14,NL.IMBAG.Pand.0153100000272467,398.685
1217,1243433,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000276205,1.53E+14,1947,Pand in gebruik,,,,0,44.926,1.53E+14,NL.IMBAG.Pand.0153100000276205,44.926
1218,1243912,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000271528,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,184.099,1.53E+14,NL.IMBAG.Pand.0153100000271528,184.099
1219,1246884,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000279196,1.53E+14,2001,Pand in gebruik,,,,0,88.879,1.53E+14,NL.IMBAG.Pand.0153100000279196,88.879
1220,1249678,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000284182,1.53E+14,1947,Pand in gebruik,,,,0,35.877,1.53E+14,NL.IMBAG.Pand.0153100000284182,35.877
1221,1250503,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000283725,1.53E+14,1934,Pand in gebruik,,,,0,26.432,1.53E+14,NL.IMBAG.Pand.0153100000283725,26.432
1222,1253840,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000287753,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,181.257,1.53E+14,NL.IMBAG.Pand.0153100000287753,181.257
1223,1259188,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000291945,1.53E+14,2009,Pand in gebruik,,,,0,37.08,1.53E+14,NL.IMBAG.Pand.0153100000291945,37.08
1224,1259390,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000292762,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,195.999,1.53E+14,NL.IMBAG.Pand.0153100000292762,195.999
1225,1259575,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000282543,1.53E+14,1947,Pand in gebruik,,,,0,19.305,1.53E+14,NL.IMBAG.Pand.0153100000282543,19.305
1226,1265168,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000478692,1.53E+14,2005,Pand in gebruik,,,,0,85.428,1.53E+14,NL.IMBAG.Pand.0153100000478692,85.428
1227,1265169,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000478693,1.53E+14,2005,Pand in gebruik,,,,0,65.174,1.53E+14,NL.IMBAG.Pand.0153100000478693,65.174
1228,1266302,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503487,1.53E+14,2018,Pand in gebruik,,,,0,72.274,1.53E+14,NL.IMBAG.Pand.0153100000503487,72.274
1229,1268386,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000507947,1.53E+14,2020,Pand in gebruik,,,,0,32.123,1.53E+14,NL.IMBAG.Pand.0153100000507947,32.123
1230,1269842,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000506922,1.53E+14,2004,Pand in gebruik,,,,0,105.484,1.53E+14,NL.IMBAG.Pand.0153100000506922,105.484
1231,1269843,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000506923,1.53E+14,2012,Pand in gebruik,,,,0,33.11,1.53E+14,NL.IMBAG.Pand.0153100000506923,33.11
1232,1274370,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000508575,1.53E+14,2020,Pand in gebruik,,,,0,15.521,1.53E+14,NL.IMBAG.Pand.0153100000508575,15.521
1233,10980414,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000508052,1.53E+14,2009,Pand in gebruik,,,,0,81.805,1.53E+14,NL.IMBAG.Pand.0153100000508052,81.805
1234,10808073,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000516503,1.53E+14,2000,Pand in gebruik,,,,0,90.188,1.53E+14,NL.IMBAG.Pand.0153100000516503,90.188
1235,1209007,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000235003,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,177.871,1.53E+14,NL.IMBAG.Pand.0153100000235003,177.871
1236,1208652,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000239098,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,230.228,1.53E+14,NL.IMBAG.Pand.0153100000239098,230.228
1237,10980391,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000255044,1.53E+14,1947,Pand in gebruik,,,,0,150.335,1.53E+14,NL.IMBAG.Pand.0153100000255044,150.335
1238,1251467,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000277951,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,196.847,1.53E+14,NL.IMBAG.Pand.0153100000277951,196.847
1239,1225627,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000257225,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,199.351,1.53E+14,NL.IMBAG.Pand.0153100000257225,199.351
1240,10980409,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000256630,1.53E+14,1947,Pand in gebruik,,,,0,27.218,1.53E+14,NL.IMBAG.Pand.0153100000256630,27.218
1241,1186287,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000207466,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,271.978,1.53E+14,NL.IMBAG.Pand.0153100000207466,271.978
1242,1266301,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503486,1.53E+14,2018,Pand in gebruik,,,,0,62.369,1.53E+14,NL.IMBAG.Pand.0153100000503486,62.369
1243,1216920,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000241471,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,204.488,1.53E+14,NL.IMBAG.Pand.0153100000241471,204.488
1244,1212905,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000239460,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,197.824,1.53E+14,NL.IMBAG.Pand.0153100000239460,197.824
1245,1244994,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000274549,1.53E+14,1947,Pand in gebruik,,,,0,38.399,1.53E+14,NL.IMBAG.Pand.0153100000274549,38.399
1246,1237024,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000271094,1.53E+14,1947,Pand in gebruik,,,,0,55.183,1.53E+14,NL.IMBAG.Pand.0153100000271094,55.183
1247,1238444,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000271653,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,228.926,1.53E+14,NL.IMBAG.Pand.0153100000271653,228.926
1248,10980077,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000276187,1.53E+14,1947,Pand in gebruik,woonfunctie,101,101,1,298.72,1.53E+14,NL.IMBAG.Pand.0153100000276187,298.72
1249,1261113,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000484516,1.53E+14,1947,Pand in gebruik,,,,0,27.677,1.53E+14,NL.IMBAG.Pand.0153100000484516,27.677
1250,1228198,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000259253,1.53E+14,1947,Pand in gebruik,,,,0,25.399,1.53E+14,NL.IMBAG.Pand.0153100000259253,25.399
1251,1235916,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000264873,1.53E+14,1947,Pand in gebruik,,,,0,38.424,1.53E+14,NL.IMBAG.Pand.0153100000264873,38.424
1252,1212083,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000241175,1.53E+14,1947,Pand in gebruik,,,,0,42.259,1.53E+14,NL.IMBAG.Pand.0153100000241175,42.259
1253,1184876,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000211107,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,250.209,1.53E+14,NL.IMBAG.Pand.0153100000211107,250.209
1254,1243858,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000271052,1.53E+14,1997,Pand in gebruik,,,,0,232.75,1.53E+14,NL.IMBAG.Pand.0153100000271052,232.75
1255,1264612,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000293035,1.53E+14,1997,Pand in gebruik,,,,0,157.823,1.53E+14,NL.IMBAG.Pand.0153100000293035,157.823
1256,1196424,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000221809,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,289.016,1.53E+14,NL.IMBAG.Pand.0153100000221809,289.016
1257,1194067,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000221249,1.53E+14,1947,Pand in gebruik,woonfunctie,103,103,1,275.719,1.53E+14,NL.IMBAG.Pand.0153100000221249,275.719
1258,10980099,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000511557,1.53E+14,2020,Pand in gebruik,,,,0,18.426,1.53E+14,NL.IMBAG.Pand.0153100000511557,18.426
1259,1264597,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000471744,1.53E+14,1947,Pand in gebruik,,,,0,17.546,1.53E+14,NL.IMBAG.Pand.0153100000471744,17.546
1260,1191400,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000219115,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,212.18,1.53E+14,NL.IMBAG.Pand.0153100000219115,212.18
1261,1222319,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000253129,1.53E+14,1947,Pand in gebruik,,,,0,45.107,1.53E+14,NL.IMBAG.Pand.0153100000253129,45.107
1262,1231690,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000263192,1.53E+14,1947,Pand in gebruik,woonfunctie,88,88,1,183.904,1.53E+14,NL.IMBAG.Pand.0153100000263192,183.904
1263,1261150,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000484520,1.53E+14,2012,Pand in gebruik,,,,0,172.496,1.53E+14,NL.IMBAG.Pand.0153100000484520,172.496
1264,1221098,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000242002,1.53E+14,1984,Pand in gebruik,woonfunctie,289,289,1,462.455,1.53E+14,NL.IMBAG.Pand.0153100000242002,462.455
1265,1226129,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000258185,1.53E+14,1973,Pand in gebruik,,,,0,91.318,1.53E+14,NL.IMBAG.Pand.0153100000258185,91.318
1266,1205519,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000232730,1.53E+14,1998,Pand in gebruik,,,,0,14.64,1.53E+14,NL.IMBAG.Pand.0153100000232730,14.64
1267,1229865,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000255042,1.53E+14,1997,Pand in gebruik,,,,0,128.749,1.53E+14,NL.IMBAG.Pand.0153100000255042,128.749
1268,1228593,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000258836,1.53E+14,1953,Pand in gebruik,,,,0,59.206,1.53E+14,NL.IMBAG.Pand.0153100000258836,59.206
1269,1213453,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000239947,1.53E+14,1970,Pand in gebruik,bijeenkomstfunctie,219,219,1,647.351,1.53E+14,NL.IMBAG.Pand.0153100000239947,647.351
1270,1203137,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000222549,1.53E+14,1948,Pand in gebruik,woonfunctie,86,86,1,154.456,1.53E+14,NL.IMBAG.Pand.0153100000222549,154.456
1271,1236713,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000270638,1.53E+14,1994,Pand in gebruik,,,,0,64.418,1.53E+14,NL.IMBAG.Pand.0153100000270638,64.418
1272,1223952,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000253693,1.53E+14,1953,Pand in gebruik,,,,0,36.715,1.53E+14,NL.IMBAG.Pand.0153100000253693,36.715
1273,1200299,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000229607,1.53E+14,1953,Pand in gebruik,,,,0,106.035,1.53E+14,NL.IMBAG.Pand.0153100000229607,106.035
1274,1239202,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000272626,1.53E+14,1948,Pand in gebruik,woonfunctie,86,86,1,130.467,1.53E+14,NL.IMBAG.Pand.0153100000272626,130.467
1275,1220966,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000251280,1.53E+14,1948,Pand in gebruik,woonfunctie,86,86,1,123.312,1.53E+14,NL.IMBAG.Pand.0153100000251280,123.312
1276,1209273,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000229922,1.53E+14,1953,Pand in gebruik,,,,0,102.216,1.53E+14,NL.IMBAG.Pand.0153100000229922,102.216
1277,1187051,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000209344,1.53E+14,1974,Pand in gebruik,,,,0,27.844,1.53E+14,NL.IMBAG.Pand.0153100000209344,27.844
1278,1221436,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000249909,1.53E+14,1963,Pand in gebruik,sportfunctie,420,420,1,1209.112,1.53E+14,NL.IMBAG.Pand.0153100000249909,1209.112
1279,1240178,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000275102,1.53E+14,1948,Pand in gebruik,woonfunctie,86,86,1,125.473,1.53E+14,NL.IMBAG.Pand.0153100000275102,125.473
1280,1230911,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000263110,1.53E+14,1948,Pand in gebruik,woonfunctie,86,86,1,159.855,1.53E+14,NL.IMBAG.Pand.0153100000263110,159.855
1281,1182739,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000204954,1.53E+14,1992,Pand in gebruik,overige gebruiksfunctie,3,3,1,23.383,1.53E+14,NL.IMBAG.Pand.0153100000204954,23.383
1282,1177655,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000203377,1.53E+14,1930,Pand in gebruik,woonfunctie,159,159,1,260.488,1.53E+14,NL.IMBAG.Pand.0153100000203377,260.488
1283,1253397,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000279532,1.53E+14,1994,Pand in gebruik,,,,0,67.135,1.53E+14,NL.IMBAG.Pand.0153100000279532,67.135
1284,1254882,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000288779,1.53E+14,1948,Pand in gebruik,woonfunctie,86,86,1,142.188,1.53E+14,NL.IMBAG.Pand.0153100000288779,142.188
1285,1257531,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000285505,1.53E+14,1948,Pand in gebruik,woonfunctie,86,86,1,126.01,1.53E+14,NL.IMBAG.Pand.0153100000285505,126.01
1286,1258075,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000291831,1.53E+14,1948,Pand in gebruik,woonfunctie,86,86,1,125.38,1.53E+14,NL.IMBAG.Pand.0153100000291831,125.38
1287,1258270,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000288331,1.53E+14,1953,Pand in gebruik,,,,0,91.953,1.53E+14,NL.IMBAG.Pand.0153100000288331,91.953
1288,1259166,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000282520,1.53E+14,1930,Pand in gebruik,,,,0,111.466,1.53E+14,NL.IMBAG.Pand.0153100000282520,111.466
1289,1259534,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000294177,1.53E+14,1935,Pand in gebruik,,,,0,152.42,1.53E+14,NL.IMBAG.Pand.0153100000294177,152.42
1290,1259614,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000282544,1.53E+14,1953,Pand in gebruik,,,,0,93.329,1.53E+14,NL.IMBAG.Pand.0153100000282544,93.329
1291,1260019,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000293253,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,150.621,1.53E+14,NL.IMBAG.Pand.0153100000293253,150.621
1292,1260629,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000288432,1.53E+14,1997,Pand in gebruik,,,,0,24.901,1.53E+14,NL.IMBAG.Pand.0153100000288432,24.901
1293,1214289,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000245586,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,159.865,1.53E+14,NL.IMBAG.Pand.0153100000245586,159.865
1294,1229279,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000260406,1.53E+14,1956,Pand in gebruik,woonfunctie,92,92,1,114.51,1.53E+14,NL.IMBAG.Pand.0153100000260406,114.51
1295,1220276,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000246031,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,122.279,1.53E+14,NL.IMBAG.Pand.0153100000246031,122.279
1296,1264615,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000471748,1.53E+14,1948,Pand in gebruik,,,,0,121.482,1.53E+14,NL.IMBAG.Pand.0153100000471748,121.482
1297,1264616,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000471749,1.53E+14,1948,Pand in gebruik,,,,0,64.242,1.53E+14,NL.IMBAG.Pand.0153100000471749,64.242
1298,1270917,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000497386,1.53E+14,2017,Pand in gebruik,,,,0,33.69,1.53E+14,NL.IMBAG.Pand.0153100000497386,33.69
1299,1270940,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503441,1.53E+14,2018,Pand in gebruik,,,,0,41.59,1.53E+14,NL.IMBAG.Pand.0153100000503441,41.59
1300,1270941,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503442,1.53E+14,2018,Pand in gebruik,,,,0,15.206,1.53E+14,NL.IMBAG.Pand.0153100000503442,15.206
1301,1270942,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503443,1.53E+14,2018,Pand in gebruik,,,,0,50.498,1.53E+14,NL.IMBAG.Pand.0153100000503443,50.498
1302,1270943,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503444,1.53E+14,2018,Pand in gebruik,,,,0,54.769,1.53E+14,NL.IMBAG.Pand.0153100000503444,54.769
1303,1270944,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000503445,1.53E+14,2018,Pand in gebruik,,,,0,17.712,1.53E+14,NL.IMBAG.Pand.0153100000503445,17.712
1304,1271833,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000507206,1.53E+14,2020,Pand in gebruik,,,,0,24.657,1.53E+14,NL.IMBAG.Pand.0153100000507206,24.657
1305,1274371,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000508576,1.53E+14,2020,Pand in gebruik,,,,0,88.864,1.53E+14,NL.IMBAG.Pand.0153100000508576,88.864
1306,1274439,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000508584,1.53E+14,2020,Pand in gebruik,,,,0,63.489,1.53E+14,NL.IMBAG.Pand.0153100000508584,63.489
1307,10808001,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000516494,1.53E+14,2018,Pand in gebruik,,,,0,51.807,1.53E+14,NL.IMBAG.Pand.0153100000516494,51.807
1308,1198664,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000226650,1.53E+14,1932,Pand in gebruik,woonfunctie,114,114,1,191.801,1.53E+14,NL.IMBAG.Pand.0153100000226650,191.801
1309,1200324,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000228159,1.53E+14,1978,Pand in gebruik,,,,0,184.536,1.53E+14,NL.IMBAG.Pand.0153100000228159,184.536
1310,1197877,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000226610,1.53E+14,2002,Pand in gebruik,overige gebruiksfunctie,55,55,1,190.894,1.53E+14,NL.IMBAG.Pand.0153100000226610,190.894
1311,1199613,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000228121,1.53E+14,1932,Pand in gebruik,woonfunctie,105,105,1,171.176,1.53E+14,NL.IMBAG.Pand.0153100000228121,171.176
1312,1194995,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000221329,1.53E+14,2001,Pand in gebruik,overige gebruiksfunctie,62,62,1,340.95,1.53E+14,NL.IMBAG.Pand.0153100000221329,340.95
1313,1188725,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000214311,1.53E+14,1997,Pand in gebruik,industriefunctie,82,82,1,225.341,1.53E+14,NL.IMBAG.Pand.0153100000214311,225.341
1314,1217916,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000241540,1.53E+14,1978,Pand in gebruik,,,,0,110.699,1.53E+14,NL.IMBAG.Pand.0153100000241540,110.699
1315,1181220,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000207608,1.53E+14,2000,Pand in gebruik,overige gebruiksfunctie,15,15,1,58.519,1.53E+14,NL.IMBAG.Pand.0153100000207608,58.519
1316,1184130,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000209636,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,13,13,1,35.738,1.53E+14,NL.IMBAG.Pand.0153100000209636,35.738
1317,1198169,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000226629,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,13,13,1,44.219,1.53E+14,NL.IMBAG.Pand.0153100000226629,44.219
1318,1206220,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000234756,1.53E+14,1995,Pand in gebruik,industriefunctie,135,135,1,408.795,1.53E+14,NL.IMBAG.Pand.0153100000234756,408.795
1319,1220755,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000249265,1.53E+14,1992,Pand in gebruik,overige gebruiksfunctie,13,13,1,44.47,1.53E+14,NL.IMBAG.Pand.0153100000249265,44.47
1320,1184797,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000207035,1.53E+14,1978,Pand in gebruik,,,,0,83.669,1.53E+14,NL.IMBAG.Pand.0153100000207035,83.669
1321,1199471,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000222052,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,15,15,1,49.57,1.53E+14,NL.IMBAG.Pand.0153100000222052,49.57
1322,1194492,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000223105,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,15,15,1,43.978,1.53E+14,NL.IMBAG.Pand.0153100000223105,43.978
1323,1213551,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000239522,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,15,15,1,47.719,1.53E+14,NL.IMBAG.Pand.0153100000239522,47.719
1324,1216217,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000246153,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,15,15,1,46.204,1.53E+14,NL.IMBAG.Pand.0153100000246153,46.204
1325,1185505,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000210194,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,15,15,1,48.845,1.53E+14,NL.IMBAG.Pand.0153100000210194,48.845
1326,1149987,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000233641,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,15,15,1,42.48,1.53E+14,NL.IMBAG.Pand.0153100000233641,42.48
1327,1221417,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000244991,1.53E+14,1980,Pand in gebruik,,,,0,144.248,1.53E+14,NL.IMBAG.Pand.0153100000244991,144.248
1328,1222931,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000250822,1.53E+14,1932,Pand in gebruik,woonfunctie,136,136,1,232.727,1.53E+14,NL.IMBAG.Pand.0153100000250822,232.727
1329,1225840,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000249506,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,15,15,1,104.433,1.53E+14,NL.IMBAG.Pand.0153100000249506,104.433
1330,1229066,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000258858,1.53E+14,2000,Pand in gebruik,overige gebruiksfunctie,15,15,1,50.598,1.53E+14,NL.IMBAG.Pand.0153100000258858,50.598
1331,1236311,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000267805,1.53E+14,1995,Pand in gebruik,industriefunctie,68,68,1,214.568,1.53E+14,NL.IMBAG.Pand.0153100000267805,214.568
1332,1237146,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000269313,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,15,15,1,52.009,1.53E+14,NL.IMBAG.Pand.0153100000269313,52.009
1333,1239057,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000273593,1.53E+14,1932,Pand in gebruik,woonfunctie,152,152,1,275.332,1.53E+14,NL.IMBAG.Pand.0153100000273593,275.332
1334,1239722,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000268891,1.53E+14,1932,Pand in gebruik,,,,0,95.241,1.53E+14,NL.IMBAG.Pand.0153100000268891,95.241
1335,1247841,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000279878,1.53E+14,2000,Pand in gebruik,overige gebruiksfunctie,82,82,1,263.995,1.53E+14,NL.IMBAG.Pand.0153100000279878,263.995
1336,1248759,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000279935,1.53E+14,2001,Pand in gebruik,industriefunctie,213,213,1,1195.982,1.53E+14,NL.IMBAG.Pand.0153100000279935,1195.982
1337,1249243,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000277848,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,13,13,1,39.891,1.53E+14,NL.IMBAG.Pand.0153100000277848,39.891
1338,1249954,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000283703,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,15,15,1,50.566,1.53E+14,NL.IMBAG.Pand.0153100000283703,50.566
1339,1251870,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000286657,1.53E+14,1931,Pand in gebruik,overige gebruiksfunctie,15,15,1,47.057,1.53E+14,NL.IMBAG.Pand.0153100000286657,47.057
1340,1253276,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000280960,1.53E+14,2001,Pand in gebruik,industriefunctie,137,137,1,554.6,1.53E+14,NL.IMBAG.Pand.0153100000280960,554.6
1341,1256747,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000291732,1.53E+14,1997,Pand in gebruik,industriefunctie,65,140,2,657.58,1.53E+14,NL.IMBAG.Pand.0153100000291732,657.58
1342,1258876,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000290907,1.53E+14,1997,Pand in gebruik,industriefunctie,157,157,1,229.349,1.53E+14,NL.IMBAG.Pand.0153100000290907,229.349
