fid,feature_id,rdf_seeals,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,solar_Ener,pand_id_16,identificatie,EnergyEst
140,1207008,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000232566,1.53E+14,1955,Pand in gebruik,woonfunctie,55,60,4,491.848,1.53E+14,NL.IMBAG.Pand.0153100000232566,491.848
141,1205121,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000233186,1.53E+14,1955,Pand in gebruik,,,,0,20.746,1.53E+14,NL.IMBAG.Pand.0153100000233186,20.746
142,1217401,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000247644,1.53E+14,1955,Pand in gebruik,woonfunctie,55,60,4,449.058,1.53E+14,NL.IMBAG.Pand.0153100000247644,449.058
143,1208143,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000233457,1.53E+14,1954,Pand in gebruik,,,,0,47.998,1.53E+14,NL.IMBAG.Pand.0153100000233457,47.998
144,1186840,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000210779,1.53E+14,1954,Pand in gebruik,,,,0,22.821,1.53E+14,NL.IMBAG.Pand.0153100000210779,22.821
145,1211699,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000242162,1.53E+14,1954,Pand in gebruik,,,,0,36.831,1.53E+14,NL.IMBAG.Pand.0153100000242162,36.831
146,1203344,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000224066,1.53E+14,1954,Pand in gebruik,woonfunctie,98,98,1,117.844,1.53E+14,NL.IMBAG.Pand.0153100000224066,117.844
147,1184870,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000207037,1.53E+14,1954,Pand in gebruik,,,,0,17.62,1.53E+14,NL.IMBAG.Pand.0153100000207037,17.62
148,1206514,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000234774,1.53E+14,1954,Pand in gebruik,woonfunctie,110,110,1,116.019,1.53E+14,NL.IMBAG.Pand.0153100000234774,116.019
149,1187351,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000213152,1.53E+14,1954,Pand in gebruik,,,,0,23.598,1.53E+14,NL.IMBAG.Pand.0153100000213152,23.598
150,1205881,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000234735,1.53E+14,1954,Pand in gebruik,woonfunctie,98,98,1,111.568,1.53E+14,NL.IMBAG.Pand.0153100000234735,111.568
151,1193222,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000217372,1.53E+14,1954,Pand in gebruik,,,,0,34.291,1.53E+14,NL.IMBAG.Pand.0153100000217372,34.291
152,1206133,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000231061,1.53E+14,1954,Pand in gebruik,woonfunctie,76,76,1,119.285,1.53E+14,NL.IMBAG.Pand.0153100000231061,119.285
153,1206960,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000234238,1.53E+14,1954,Pand in gebruik,woonfunctie,72,72,1,137.515,1.53E+14,NL.IMBAG.Pand.0153100000234238,137.515
154,1207292,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000234846,1.53E+14,1957,Pand in gebruik,woonfunctie,348,348,1,379.264,1.53E+14,NL.IMBAG.Pand.0153100000234846,379.264
155,1209329,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000239591,1.53E+14,1954,Pand in gebruik,woonfunctie,90,90,1,168.101,1.53E+14,NL.IMBAG.Pand.0153100000239591,168.101
156,1205528,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000231015,1.53E+14,1954,Pand in gebruik,woonfunctie,72,72,1,139.322,1.53E+14,NL.IMBAG.Pand.0153100000231015,139.322
157,1216789,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000244301,1.53E+14,1992,Pand in gebruik,bijeenkomstfunctie,1000,1000,1,3915.909,1.53E+14,NL.IMBAG.Pand.0153100000244301,3915.909
158,1217527,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000248155,1.53E+14,1954,Pand in gebruik,woonfunctie,72,72,1,106.961,1.53E+14,NL.IMBAG.Pand.0153100000248155,106.961
159,1218629,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000251100,1.53E+14,1954,Pand in gebruik,woonfunctie,72,72,1,136.371,1.53E+14,NL.IMBAG.Pand.0153100000251100,136.371
160,1220108,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000246330,1.53E+14,1954,Pand in gebruik,,,,0,34.057,1.53E+14,NL.IMBAG.Pand.0153100000246330,34.057
161,1220918,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000245574,1.53E+14,1954,Pand in gebruik,woonfunctie,87,87,1,134.02,1.53E+14,NL.IMBAG.Pand.0153100000245574,134.02
162,1223130,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000251917,1.53E+14,1954,Pand in gebruik,,,,0,32.081,1.53E+14,NL.IMBAG.Pand.0153100000251917,32.081
163,1225092,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000256188,1.53E+14,1954,Pand in gebruik,woonfunctie,87,87,1,168.244,1.53E+14,NL.IMBAG.Pand.0153100000256188,168.244
164,1226962,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000257334,1.53E+14,1954,Pand in gebruik,woonfunctie,61,70,2,205.726,1.53E+14,NL.IMBAG.Pand.0153100000257334,205.726
165,1199743,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000222379,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,17,17,1,56.858,1.53E+14,NL.IMBAG.Pand.0153100000222379,56.858
166,1191365,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000219113,1.53E+14,1956,Pand in gebruik,woonfunctie,92,92,1,113.503,1.53E+14,NL.IMBAG.Pand.0153100000219113,113.503
167,1193665,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000219743,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,150.138,1.53E+14,NL.IMBAG.Pand.0153100000219743,150.138
168,1181992,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000205417,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,17,17,1,56.014,1.53E+14,NL.IMBAG.Pand.0153100000205417,56.014
169,1183839,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000208291,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,17,17,1,50.538,1.53E+14,NL.IMBAG.Pand.0153100000208291,50.538
170,1183838,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000208290,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,24,24,1,45.911,1.53E+14,NL.IMBAG.Pand.0153100000208290,45.911
171,1205456,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000234139,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,152.418,1.53E+14,NL.IMBAG.Pand.0153100000234139,152.418
172,1194886,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000221308,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,22,22,1,46.573,1.53E+14,NL.IMBAG.Pand.0153100000221308,46.573
173,1219151,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000248731,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,16,16,1,48.691,1.53E+14,NL.IMBAG.Pand.0153100000248731,48.691
174,1225373,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000257660,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,17,17,1,46.556,1.53E+14,NL.IMBAG.Pand.0153100000257660,46.556
175,1215664,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000243046,1.53E+14,1956,Pand in gebruik,woonfunctie,109,109,1,163.942,1.53E+14,NL.IMBAG.Pand.0153100000243046,163.942
176,1209079,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000237191,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,34,34,1,118.831,1.53E+14,NL.IMBAG.Pand.0153100000237191,118.831
177,1228449,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000257455,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,17,17,1,46.316,1.53E+14,NL.IMBAG.Pand.0153100000257455,46.316
178,1195399,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000217825,1.53E+14,1956,Pand in gebruik,woonfunctie,58,70,4,459.532,1.53E+14,NL.IMBAG.Pand.0153100000217825,459.532
179,1228186,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000256797,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,16,16,1,49.982,1.53E+14,NL.IMBAG.Pand.0153100000256797,49.982
